'NOEMPLEADO','PATERNO','MATERNO','NOMBRE','SEXO','FECHANACIMIENTO','FECHAINGRESO','TIENDA','COLONIA','FREGISTRO'
122,'LOAIZA','SAEZ','IRATI','F',09/06/61,10/07/01,87,7582,
123,'SUAREZ','VIZCARRA','ANTONIETA','F',23/03/81,08/10/01,171,7395,
124,'PARRA','DIEZ','IRAIDE','F',25/04/74,24/01/15,248,7775,
125,'DEL BOSQUE','GURROLA','PAULE','F',26/02/63,20/11/98,283,7192,
126,'MOYA','ROMERO','MIREN','F',05/08/91,26/07/17,330,9352,
127,'LOAIZA','ROBLES','JAIME','M',05/06/91,01/02/15,244,7347,
128,'DURAN','PELUFO','ERASMO','M',06/11/71,09/08/08,293,7381,
129,'IZA','SUAREZ','SARA','F',05/06/82,09/08/08,293,7117,
130,'MARQUEZ','SAENZ','MODESTO','M',12/10/90,13/12/00,159,7863,
131,'VERDIRAMEN','RUBIO','JESSICA','F',01/09/74,23/06/16,279,8022,
132,'GALINDO','ALMEIDA','LORENA','F',16/10/83,16/10/97,308,9390,
133,'AGUILAR','MATAMOROS','LEO','M',25/09/88,09/07/04,168,7784,
134,'ABASOLO','PARRA','JESUS','M',13/08/74,10/10/04,108,7614,
135,'CERVANTES','AGUILAR','MARICELA','F',23/12/83,23/02/17,58,8052,
136,'PELUFO','SOTO','ROSARIO','M',22/03/68,25/10/12,107,9717,
137,'HERRERO','LUNA','EDMUNDO','M',25/10/93,13/11/03,299,7529,
138,'ESTEBAN','QUINTERO','UDANE','F',29/11/85,04/03/01,136,9043,
139,'LOPEZ','CRUZ','JUSTINO','M',09/07/97,14/02/16,326,7524,
140,'PEREZ','JIMENEZ','BEÑAT','M',13/02/65,12/10/14,324,7161,
141,'ROBLES','VICENTE','YOLANDA','F',08/03/63,03/11/13,120,7869,
142,'PIÑEYRO','CASTRO','FAUSTINO','M',18/03/87,11/04/05,88,7351,
143,'ROMERO','IBAÑEZ','TELMO','M',15/11/77,08/01/09,28,7862,
144,'MORAL','BAÑALES','SERGIO','M',11/07/61,08/03/98,95,7776,
145,'MARQUEZ','BARROSO','IVETTE','F',15/04/76,26/10/14,361,9749,
146,'HIDALGO','SAEZ','HUGO','M',12/12/86,06/04/18,90,9352,
147,'VARGAS','FUERTES','EMMA','F',16/01/98,29/06/13,91,7184,
148,'ALDAMA','MARTINEZ','PEDRO','M',22/04/82,25/06/10,359,9369,
149,'CORAL','MORALES','IRMA','F',15/12/81,17/12/05,237,7575,
150,'COSIO','IGLESIAS','CLEMENTE','M',13/03/63,23/08/18,360,9067,
151,'FUERTES','PIÑA','EDUARDO','M',15/10/96,01/05/11,243,6957,
152,'CARRETE','CANO','ERASMO','M',12/04/94,12/09/03,144,9038,
153,'ARIAS','DELGADO','ANGELINA','F',16/02/89,12/03/98,96,8036,
154,'REDONDO','MOYA','DANIEL','M',24/02/80,30/05/07,280,7195,
155,'NAVARRO','HIGUERA','ULISES','M',16/09/86,06/12/01,52,9757,
156,'MORALES','GUERRERO','ALAIN','M',16/08/95,24/07/02,139,6949,
157,'NEGRETE','LEYVA','MARIA','M',08/03/73,25/01/12,26,9727,
158,'ESTEBAN','ORTIZ','RUBEN','M',31/03/65,15/07/13,127,7616,
159,'ALONSO','NAVARRETE','MARCOS','M',29/11/93,12/09/03,144,7762,
160,'BENITEZ','HERRERA','JOSE DE JESUS','M',25/08/83,27/08/11,178,8014,
161,'CABALLERO','RUBIO','HILARIO','M',17/07/77,26/12/06,199,7811,
162,'MATAMOROS','LUGO','SEBASTIAN','M',21/05/79,18/01/12,133,7742,
163,'MARTIN','COBO','NAYELI','F',12/07/86,30/04/18,143,7410,
164,'CASTRO','VENTURA','MARLENE','F',23/06/76,10/01/06,126,7370,
165,'BLANCO','ARIAS','XAVIER','M',25/02/60,11/04/04,240,7979,
166,'GURROLA','IGLESIAS','HEGOI','M',15/06/67,31/01/18,186,9403,
167,'VEGA','MARTIN','FABIAN','M',07/03/60,21/11/06,182,6963,
168,'SAEZ','ALDAMA','FRANCISCO','M',19/08/74,12/04/02,103,9697,
169,'SANCHEZ','MARTINEZ','JAVIER','M',24/03/63,03/11/13,120,7985,
170,'DEL PRADO','DIEZ','PILAR','F',18/07/93,23/02/17,58,6958,
171,'REDONDO','DE LA GARZA','LUIS','M',09/06/90,09/04/01,229,7360,
172,'VARELA','CASTRO','ANDRES','M',11/03/79,10/01/06,126,9696,
173,'RUIZ','VEGA','ELEAZAR','M',07/08/69,22/05/05,232,8007,
174,'CABRERA','GUERRERO','CONSUELO','F',04/03/62,22/04/18,305,7807,
175,'PIÑERA','VILLABA','DOMINGO','M',09/01/70,22/10/98,36,7554,
176,'GONZALEZ','GONZALEZ','ANTONIO','M',18/10/72,08/01/09,28,7524,
177,'VICENTE','CAMPOS','TERESITA','F',10/02/71,17/09/05,162,8011,
178,'VANEGAS','MORALES','NORBERTO','M',22/09/90,14/02/06,366,6962,
179,'COSIO','MARTINEZ','SALOMON','M',10/02/80,21/08/13,137,7988,
180,'GONZALEZ','LOPEZ','YERAY','M',21/04/83,26/01/07,62,9388,
181,'MARISCAL','VARGAS','HERMELINDA','F',23/06/98,16/02/12,54,9428,
182,'GALLARDO','BRAVO','AMETS','M',09/03/80,24/08/10,148,7123,
183,'PEREZ','SANTIAGO','EDER','M',09/03/91,22/05/07,110,7981,
184,'ZURITA','UBILLOS','ALVARO','M',11/04/77,19/11/11,34,7771,
185,'SUAREZ','REYES','JOSEP','M',20/04/83,20/02/05,393,7564,
186,'LEDEZMA','VALDERRAMA','BALTAZAR','M',05/02/65,16/02/12,54,7136,
187,'REYES','CALVO','PAULINA','F',24/02/95,03/02/01,356,9726,
188,'MORA','CABRERA','EDWIN','M',06/06/85,08/12/97,167,9423,
189,'URIARTE','GALLARDO','ELVA','F',20/02/94,05/02/99,352,9057,
190,'FERRER','GIMENEZ','AURORA','F',24/05/77,04/01/03,353,7779,
191,'MACIAS','PEREZ','ALBA','F',18/07/84,26/02/10,290,9054,
192,'HERNANDEZ','DEL TORO','FRANCISCA','F',06/04/97,06/01/05,118,9415,
193,'CRESPO','DIAZ','OLIVIA','F',23/08/89,12/07/00,217,7586,
194,'MARQUEZ','ORTEGA','JUDITH','F',19/08/62,03/11/13,120,8045,
195,'MORA','ASTORGA','RAUL','M',09/05/94,24/11/10,285,9425,
196,'GUTIERREZ','PIÑERA','REYES','M',03/03/67,12/09/13,51,6953,
197,'GUIJARDO','ALVAREZ','BENITO','M',15/05/93,14/04/07,389,9746,
198,'DOMINGUEZ','CORDERO','LAIA','F',07/01/63,27/08/11,252,7340,
199,'GALINDO','HIDALGO','DAVID','M',27/06/86,24/05/03,292,9705,
200,'LOPEZ','PASCUAL','RAQUEL','F',03/06/63,01/10/00,202,9733,
201,'MARTINEZ','PALACIOS','MARIANO','M',12/10/66,14/04/07,389,8017,
202,'VILLABA','MORA','ANTONIO','M',20/06/85,10/01/11,211,7581,
203,'ALDRETE','BOLAÑOS','LOURDES','F',04/01/97,14/08/18,157,9417,
204,'FRANCO','BORJA','FELIX','M',16/04/86,11/02/11,378,7583,
205,'GUERRERO','CASTILLA','MARIANO','M',15/05/63,27/08/00,155,9349,
206,'ORTA','PALACIOS','VIRGILIO','M',20/06/95,17/03/98,355,9381,
207,'BAÑALES','HERNANDEZ','ARRATE','F',07/05/82,16/01/17,147,7354,
208,'LINARES','CARRASCO','EMILIA','F',25/02/81,18/12/00,153,9047,
209,'GALLEGO','OLVERA','MAURICIO','M',23/07/93,09/09/13,71,8014,
210,'BLANCO','MONTES','MARCELO','M',14/08/61,03/11/09,41,7154,
211,'SARIÑANA','GARRIDO','CANDIDO','M',30/01/81,09/02/02,1,9399,
212,'RUIZ','PIÑA','ISIDORO','M',17/06/67,09/10/14,287,9016,
213,'SUAREZ','MAYAGOITIA','REFUGIO','M',11/09/72,21/06/10,214,9337,
214,'RODRIGUEZ','JIMENEZ','BRENDA','F',15/03/80,17/03/16,306,7376,
215,'DELGADO','BORRERO','HAIZEA','F',09/05/63,30/11/07,115,7627,
216,'MIGUELEZ','MALO','ALEJANDRO','M',10/11/79,08/07/08,154,9041,
217,'MARIN','FERNANDEZ','OSWALDO','M',14/04/97,26/08/18,98,7629,
218,'GALLARDO','FUENTES','ALDO','M',11/06/73,30/03/05,348,8039,
219,'ESTEBAN','LORENZO','MARGARITA','F',15/02/90,07/09/06,212,9068,
220,'DEL BOSQUE','VENTURA','HILDA','F',29/04/97,16/08/18,384,9398,
221,'NAVARRO','NAVARRO','JAVIER','M',18/03/91,05/02/99,352,7593,
222,'GOMEZ','COBO','ARATZ','M',28/06/91,27/06/02,271,7411,
223,'FRANCO','HERNANDEZ','ROSALBA','F',02/07/66,12/06/14,367,7155,
